,in_text,matched,similarity,first_letter_match,dmtph_match,inv_lvst_dist,jw_sim,match_score
0,"Charleston, South Carolina",Charleston South Carolina,1.0000000000000007,True,0.9975273768433653,1.0,1.0,0.9997252640937077
1,"KATHMANDU, Nepal","Kathmandu, Nepal",1.0000000000000007,True,0.9975273768433653,1.0,1.0,0.9997252640937077
2,"Charleston, South Carolina",CHARLESTON SOUTH CAROLINA,1.0000000000000007,True,0.9975273768433653,1.0,1.0,0.9997252640937077
3,Manchester NEW HAMPSHIRE,"Manchester, New Hampshire",1.0000000000000007,True,0.9975273768433653,1.0,1.0,0.9997252640937077
4,"Cookeville, TN",Cookeville TN,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
5,Scottsdale ARIZONA,Scottsdale Arizona,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
6,Scottsdale ARIZONA,"Scottsdale, Arizona",1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
7,"Rockville, Md.","ROCKVILLE, Md.",1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
8,"Scottsdale, Arizona",Scottsdale Arizona,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
9,"Ferguson, Mo.","FERGUSON, Mo.",1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
10,McAllen,McALLEN,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
11,NORTHRIDGE CA,"Northridge, CA",1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
12,SOUTHWEST MICHIGAN,Southwest Michigan,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
13,"SOUTH BEND, Ind.","South Bend, Ind.",1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
14,Surrey UNITED KINGDOM,"Surrey, United Kingdom",1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
15,S83-W20370 Janesville Road,S83 W20370 Janesville Road,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
16,St. Petersburg,ST. PETERSBURG,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
17,Rock Island County,ROCK ISLAND COUNTY,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
18,"Homestead, FL",Homestead FL,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
19,Lafayette Square,LaFayette Square,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
20,Milwaukee County,Milwaukee county,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
21,University Park,UNIVERSITY PARK,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
22,"SCOTTSDALE, Ariz.","Scottsdale, Ariz.",1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
23,Mount Carmel,MOUNT CARMEL,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
24,Danville. City,Danville City,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
25,New York state's,New York State's,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
26,College Station,COLLEGE STATION,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
